Job Title,Company Name,Preferred Qualifications,Link to Job
Scientist,Horizon Quantum Computing,"A MSc degree in Computer Science, Physics, a related engineering field, or an equivalent experienceExperience in quantum hardware and modelling realistic quantum circuitsProgramming experience with C, C++ and Python and preferably also with MatlabStrong troubleshooting and debugging skillsHighly motivated with a passion for learning and driving technical progressExcellent collaboration, communication and documentation skills",https://sg.linkedin.com/jobs/view/scientist-at-horizon-quantum-computing-3681887909?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=qKkBh6l9o6gqP9KSCfvclg%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Growth Data Scientist (Statistical modeling),Crypto.com,", you can learn more from our talent acquisition team.About  Crypto.com :Founded in 2016, Crypto.com serves more than 80 million customers and is the world's fastest growing global cryptocurrency platform. Our vision is simple: Cryptocurrency in Every Wallet™. Built on a foundation of security, privacy, and compliance, Crypto.com is committed to accelerating the adoption of cryptocurrency through innovation and empowering the next generation of builders, creators, and entrepreneurs to develop a fairer and more equitable digital ecosystem.Learn more at https://crypto.com .Crypto.com is an equal opportunities employer and we are committed to creating an environment where opportunities are presented to everyone in a fair and transparent way. Crypto.com values diversity and inclusion, seeking candidates with a variety of backgrounds, perspectives, and skills that complement and strengthen our team.Personal data provided by applicants will be used for recruitment purposes only.Please note that only shortlisted candidates will be contacted.",https://sg.linkedin.com/jobs/view/growth-data-scientist-statistical-modeling-at-crypto-com-3708236259?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=rUuB%2F5HgbRLo3KuuYnPVjQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior /Machine Learning Engineer - DSC/EZ,ST Engineering,", design, develop, test and maintain Machine Learning systemsResponsible for documentation of system specificationsConduct technical exploration of new Machine Leaning tools, techniques and platformsAssist to maintain Machine Learning/AI knowledge repositorySupport pre-sales initiatives, proposal development and provide post-sales support for Machine Learning systems&lt;p&gt; &lt;/p&gt;&lt;p&gt;Job",https://sg.linkedin.com/jobs/view/senior-machine-learning-engineer-dsc-ez-at-st-engineering-3629531573?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=BqlSXKkshaDEXrWqYBFHPA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Scientist - Fraud Analytics,Robert Walters,", understand business processes and conduct data cleansing in order to enable data visualisation to stakeholdersTo succeed in this Data Scientist - Fraud Analytics role, you will need to have around five years of experience.Key",https://sg.linkedin.com/jobs/view/data-scientist-fraud-analytics-at-robert-walters-3747499901?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=X7KkmRnUhegO4eTLmd51%2Bg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Scientist [Search],Ahrefs,"together with Product Development, Design and Marketing teamsWork closely with the Engineering teams (frontend and backend) to implement, deploy, and maintain production systemsWrite thorough documentationEffectively communicate highly technical results to various teams",https://sg.linkedin.com/jobs/view/data-scientist-search-at-ahrefs-3621535455?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=uzIKd8VhuNAD79EXWyEdiA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
WeChat - Data Scientist,Tencent,":QualificationsBachelor degree in Mathematics, Economics, Statistics, Data Science, Computer Vision or similar quantitative fieldAbility to communicate complex ideas to non-technical stakeholders in a way they can easily understand and appreciate. Good knowledge of Python or C/C++ programming languageSelf-driven, innovative, collaborative, with good communication and presentation skills, able to translate between business and technical audiencesFluency in both English and Mandarin to deal with international stakeholders and stakeholders who are based in HQ",https://sg.linkedin.com/jobs/view/wechat-data-scientist-at-tencent-3735042090?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=Xl6IXW1Ceq3vWpkNEvsGWg%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Scientist,Civil Aviation Authority of Singapore,of a data management system and utilise his/her knowledge of data systems to translate operational,https://sg.linkedin.com/jobs/view/senior-data-scientist-at-civil-aviation-authority-of-singapore-3680985749?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=ajomJd4wgFRzyBemrEgBFw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Artificial Intelligence Engineer,Hendricks Corp,".&lt;p&gt;&lt;/p&gt;Depending on candidate’s suitability, he/ she can be tasked with one or more of the following secondary accountabilities:&lt;p&gt;&lt;/p&gt;Build data ingesting and processing pipelines to collect, clean, harmonise, merge and consolidate data sources to be used for analysis, machine learning and visualisation purposes.Ensure data quality.Collaborate with various teams to understand needs to build scalable and data-driven products and assist with data-related technical issues.Participate in the application of machine learning/AI techniques to various problem statements.Ability to simplify ideas, present and engage stake holders and senior management.Keep abreast of technological advances in Big Data Technologies, Computer Vision and government policies &amp;amp; recommendations, etc.&lt;p&gt;&lt;/p&gt;",https://sg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-hendricks-corp-3722050474?refId=v4%2FxJR6vgpZuzcRYi9dc4Q%3D%3D&trackingId=cqQNvtKVUHsKJyY%2BZ1FuuQ%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
"Machine Learning Engineer (AI,NLP,GPT)",Manpower Singapore,of model online services.,https://sg.linkedin.com/jobs/view/machine-learning-engineer-ai-nlp-gpt-at-manpower-singapore-3741706966?refId=uLdEs27M2sye3p4xthIGQA%3D%3D&trackingId=L8zt4Cc8M22Nbh%2BxJ3vFxA%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
"AIML - Site Reliability Engineer, ML Platform & Technology",Apple,"Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation. Role Number: 200499912",https://sg.linkedin.com/jobs/view/aiml-site-reliability-engineer-ml-platform-technology-at-apple-3700688790?refId=uLdEs27M2sye3p4xthIGQA%3D%3D&trackingId=zOLPs%2FlaUDk4YCJb%2FViBYA%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
